doc_id,TFIDF_scores,key
38,0.191356687,journal
435,0.191262427,14
171,0.191039199,journal
129,0.190886853,journal
40,0.190870517,14
1004,0.190292354,etc
75,0.189777957,etc
1723,0.189491172,13
1636,0.189353156,13
1931,0.189324093,6
1994,0.189175298,6
1220,0.189107573,questions
462,0.188115492,questions
315,0.187910277,questions
1425,0.187527135,questions
256,0.187341156,questions
143,0.186766094,questions
1705,0.186766094,3
1312,0.186215138,3
865,0.185430573,3
883,0.185069665,3
947,0.185041977,3
881,0.184677205,15
1021,0.184543091,15
1007,0.184150079,12
1785,0.183925501,12
763,0.183780186,11
872,0.183119535,11
1151,0.183119535,11
431,0.182904671,times
1823,0.182675618,times
1670,0.182644934,times
467,0.182478805,11
1028,0.181854464,11
564,0.181692478,occurred
1963,0.181624964,occurred
798,0.181477719,occurred
892,0.181264555,occurred
1089,0.180790992,5
1791,0.180790992,2
1919,0.180790992,2
242,0.180222527,2
1095,0.179973058,9
588,0.179926657,9
1761,0.179360965,9
1826,0.179205779,9
672,0.178805931,commission
1855,0.178599575,14
1424,0.178585746,14
1502,0.178585746,etc
2006,0.178426477,10
1707,0.177991628,10
1836,0.177991628,10
1207,0.177837309,7
2064,0.177778454,7
1498,0.177741186,7
78,0.177439383,7
1269,0.177062461,7
1672,0.176475982,7
1746,0.176400971,8
133,0.175119266,8
394,0.175119266,8
1110,0.175068966,13
1902,0.174908673,12
1343,0.174596451,12
1345,0.17400719,12
1626,0.173792805,12
1566,0.173717841,12
1272,0.173605598,11
1711,0.17310197,11
705,0.172955389,11
682,0.172608254,6
34,0.172399472,9
360,0.172399472,9
19,0.172391228,9
1938,0.1720076,9
896,0.171818089,9
1436,0.171751439,9
1040,0.171663801,5
1509,0.171562662,5
1841,0.171163544,5
1042,0.169677484,5
1351,0.16944135,5
1298,0.169344932,etc
1650,0.169316272,help
1728,0.16887909,help
428,0.168771672,help
1762,0.168631783,help
261,0.166536841,help
455,0.166536841,help
2043,0.166126259,help
654,0.165719847,10
1886,0.165719847,10
1482,0.165572667,10
2038,0.16527794,10
139,0.164885795,7
1629,0.164850525,7
1819,0.164850525,7
1756,0.164619928,8
1252,0.163601687,8
511,0.162781543,3
36,0.162442993,3
1246,0.162442993,3
779,0.162307256,4
1907,0.1617373,4
1023,0.161648553,4
1339,0.161400857,4
1685,0.160703104,4
885,0.160690231,4
899,0.160179401,4
51,0.1601274,2
210,0.160085224,2
1954,0.160085224,2
2002,0.160085224,2
1687,0.159419717,2
1410,0.159268647,2
1940,0.159058764,2
1628,0.158413045,6
1565,0.158286146,6
894,0.158148297,6
1882,0.157837649,6
229,0.156358055,6
249,0.156358055,6
1132,0.156213158,6
